REGION,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
I,58,124,211,124,116,51,66,96,130,57,34,38,2,0,0,48,81,31,67,74,71
III,0,1837,1936,498,306,375,316,617,574,371,227,151,0,57,371,513,706,233,204,410,282
IV-A,1253,1324,622,100,132,145,0,0,0,0,0,0,0,0,0,579,729,23,4,,45
VI,157,498,458,387,558,858,906,850,804,427,155,49,85,21,722,1253,1170,934,2147,3487,1765
XII,205,261,284,59,81,125,105,94,93,19,73,57,473,39,380,449,1399,839,1179,1601,544
BARMM,0,0,0,0,1,8,0,0,28,13,30,7,6,168,152,140,710,721,828,974,0
