,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018 2_/
I,1025,927,903,697,2440,2382,2617,3001,3102,4875.87,4868.05,1279.11,2192.98,228.3382,564.7244,632.3722,357.5202,201.4834,291.9321,478.2188,258.7245
III,10804,10726,8587,6966,6889,5922,6153,5965,5430,5419.12,5838.61,5650.3,5901.29,4450.33,5391.64,9068.22,4664.17,2592.07,1757.21,2351.41,2905.35
IV-A,6163,5866,4507,3261,5077,4563,5058,4476,4746,6397.6,5817.43,3364.44,5614.31,6339.38,6391.56,5058.3,6746.53,3076.52,2197.5,1178.01,1517.21
VI,19721,13815,10084,12419,15077,15040,15181,8526,13366,14651.67,9478.02,6916.37,6708.85,4841.74,7494.94,8389.89,7206.15,7371.31,5075.97,6692.85,6247.18
XII,13028,22652,16344,16295,14715,11431,14274,21024,15623,15834.99,20461.69,8754.62,24799.5,33624.62,45095.94,42125.48,45979.62,6927.22,4987.88,10437.82,5673.5
BARMM,509,424,1000,2649,10469,2405,9565,12539,5992,463.322,5296.7,3460.45,928.4209,8766.61,2267.79,6543.25,1622.22,1107.95,32.4763,0.5299,133.1547
