"Other Crops: Volume of Production, by Region and by Province, 1990-2019"

"Crop";"Geolocation";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Tobacco Native";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;..;..;..;..;1032.00;850.00;846.05;829.13;625.69;586.51;441.70;375.10;527.64;559.52;481.31;311.18;545.50;919.10;815.00;680.00;672.00;704.00;1033.00;1238.00
"Tobacco Virginia";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.00;16.50;190.00;1132.80;1550.20;2249.76;2139.30;1388.71
"Banana";"..REGION X (NORTHERN MINDANAO)";273503.15;289659.70;317819.55;329922.92;338257.69;351773.73;389427.88;413039.49;382496.52;468989.96;488433.77;518595.69;534814.84;515502.12;571626.07;590026.01;662189.05;933113.62;1631303.73;1657685.69;1702391.84;1725775.20;1718787.39;1735977.42;1781044.74;1832172.59;1864422.34;1930061.55;1951138.48;1964148.18
"Banana Cavendish";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;..;..;..;..;..;..;25084.91;30062.66;99676.76;117856.33;172013.27;412713.13;1076750.69;1095815.92;1117121.00;1115622.14;1102389.36;1120311.10;1148625.20;1200592.72;1237619.00;1296400.42;1313762.47;1329668.05
"Banana Lakatan";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;..;..;..;..;..;..;145611.92;137671.49;130862.85;131263.58;135798.76;145587.50;152631.36;154704.23;164923.13;166312.70;169093.87;167312.61;168898.19;168267.21;168389.57;169739.02;171539.34;172745.59
"Banana Saba";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;..;..;..;..;..;..;238642.53;225497.78;219915.90;220385.22;226990.09;238694.49;253216.29;259750.36;269395.26;291200.03;294605.18;295655.65;302444.87;304691.99;302527.65;304009.32;307526.77;310008.99
"Calamansi";"..REGION X (NORTHERN MINDANAO)";588.94;636.62;685.60;823.37;825.84;891.10;920.01;970.88;1028.18;1076.25;1101.79;1113.58;1129.77;1157.00;1240.50;1131.71;1159.28;1289.70;1265.48;1261.31;1294.56;1285.90;1313.78;1341.31;2041.08;2126.66;2211.19;2276.86;2306.30;2349.71
"Durian";"..REGION X (NORTHERN MINDANAO)";72.88;71.88;74.21;82.93;93.21;89.96;119.10;588.48;625.64;569.97;743.98;845.05;934.58;1157.68;1202.96;1288.77;1331.06;1510.53;1437.68;1932.47;2150.93;1981.07;2057.46;2164.55;2156.40;2294.89;2311.94;2088.37;2054.98;2135.44
"Lanzones";"..REGION X (NORTHERN MINDANAO)";4812.00;4604.00;5861.05;4038.08;4770.10;6887.10;10524.01;17733.83;17853.51;207.26;215.06;696.66;601.89;1523.21;1229.48;2717.95;1948.17;3626.72;1236.33;4447.56;4779.15;1071.80;5397.82;5519.14;4577.04;7369.39;5600.01;2631.09;3803.05;6510.70
"Mandarin";"..REGION X (NORTHERN MINDANAO)";69.50;59.96;56.67;51.95;48.51;50.07;57.53;88.54;124.28;127.55;103.19;106.43;112.03;107.44;99.77;113.82;133.39;137.63;146.20;146.73;152.68;115.52;75.19;71.01;63.89;56.00;43.64;33.58;21.02;15.56
"Mango";"..REGION X (NORTHERN MINDANAO)";15418.44;15707.52;16668.87;17593.49;15401.80;21793.51;23949.33;26103.80;28797.36;22204.39;22302.17;22882.42;23134.18;25851.51;31845.42;33542.68;33581.15;33684.56;33251.25;35869.17;37592.67;35520.63;38169.19;44694.58;45224.34;50680.54;50752.75;49548.31;50705.11;52571.21
"Mango Carabao";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;..;..;..;..;..;..;19670.27;22559.19;28624.57;30238.55;30425.27;30634.56;30301.14;32974.97;34613.02;32661.65;35273.80;41756.39;42257.63;47511.82;47460.86;46300.45;47328.11;48947.81
