,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
R1,1821718.74,1957355.79,2156138.74,2211778.18,2595720.56,2769094.99,2850051.42,3012024.98,3232887.37,3357879.89,3288437.6,2759791.42,2978736.02,3028032.71,3198404.64,3228917.22,3337639.39,3311731.24,3250225.38,3351087.74,3150684.01
R3,3136241.03,3738813.62,4081399.01,4246160.3,4554221.56,4676919.42,4680790.08,4630008.64,4611934.29,4785201.05,5279264.92,4767478.22,4741270.15,4543012.3,5562758.89,5369047.08,5743847.46,5039215.33,4958053.67,5407815.4,5317925.67
R4A,3841131.98,4405104.02,4070446,4331837.2,4767762.55,4544528.38,4748184.57,4524624.93,4609356.78,4586379.87,4979035.75,4327217.82,4179888.6,4673272.72,4482331.87,4399765.52,4105034.73,4228954.01,4343028.29,4485966.51,4487110.93
R6,12202718.09,16097312.21,14028036.44,14324883.37,14199538.64,15912348.02,17086277.95,16432132.2,17056356.29,15233163.83,17625104.19,16343792.55,13220330.49,19373108.85,18637145.45,17737599.11,18136831.76,17124953.4,16845290.54,20849189.4,18632277.99
R12,5745141.71,5583868.48,5990474,5972223.28,8055620.77,8222817.25,8704071.06,9241314.93,9978769.68,10638724.61,11356469.63,11627695.86,11374696.76,11722472.28,11656107.27,9939962.52,10419574.58,10318526.58,10032979.11,10272805.39,10473784.37
ARMM,3253205.8,3729856.44,3768075.52,3800858.14,3997793.98,4036421.15,4169135.28,4179928.67,4266666.26,4639411.18,4600620.65,4659065.3,4671030.77,4600425.11,4736645.69,4856297.31,4850784.56,4864247.05,4732829.22,5144720.85,5369949.56
