,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Value index of imports,22.39269,22.89592,22.34089,21.54216,17.37216,14.73162,14.20741,19.41127,23.58071,30.16936,35.11922,34.73518,41.85263,50.47195,61.14651,76.53947,92.16497,104.3076,85.06237,87.95672,100,94.31149,110.9775,114.9847,124.5085,133.6512,146.049,156.6295,163.176,123.9025,157.9046,172.0155,176.4908,177.4513,185.553,201.8806,241.5381,275.2039,322.2749,304.9335
